Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
27-Oct-13,0.02,-0.035,-0.088,0.061,-0.074,-0.025,-0.39,-0.006,0.002,-0.0092,0.0115,0.0052
20-Oct-13,0.004,0.104,0.144,0.082,0.107,0.185,-1.27,0.003,0.001,0.024,0.0318,0.0147
13-Oct-13,0.036,0.012,0.024,0.026,0.063,0.09,0.31,-0.016,0.022,0.0001,-0.0121,0.0093
6-Oct-13,-0.004,-0.003,-0.09,-0.029,-0.008,-0.15,0.85,0.006,-0.018,-0.0211,-0.0142,-0.021
29-Sep-13,0.03,-0.019,-0.09,-0.053,-0.025,-0.03,-1.11,-0.005,-0.001,0.0054,0.0016,-0.0033
22-Sep-13,0.012,0.215,0.07,0.173,0.133,0.115,0.79,0.001,-0.003,0.0129,-0.0036,-0.0118
15-Sep-13,0.032,-0.016,0.064,0.022,0.073,0.065,1.05,0,0.008,-0.0133,0.0002,0.0078
8-Sep-13,0.069,0.023,0.051,-0.028,0.006,-0.05,0.05,0.005,-0.024,-0.0131,-0.023,-0.0149
1-Sep-13,-0.077,-0.158,-0.248,-0.092,-0.151,-0.19,-0.25,0.005,-0.013,-0.0244,-0.0114,-0.0059
25-Aug-13,0.049,-0.066,0.145,0.077,0.073,0.135,-0.94,0.013,-0.027,-0.0121,0.0042,-0.0286
18-Aug-13,-0.005,-0.015,-0.072,-0.055,0.021,-0.105,0.58,-0.004,0.008,0.0058,0.016,0.0125
11-Aug-13,-0.006,-0.233,-0.262,-0.195,-0.234,-0.24,-1.22,-0.016,0.03,0.0062,-0.0052,0.016
4-Aug-13,0.056,-0.033,0.051,-0.024,0.007,-0.115,-1.31,-0.005,-0.007,-0.013,0.0013,0.0008
28-Jul-13,-0.022,-0.095,0.021,0.008,-0.035,-0.015,2.75,0.01,-0.021,-0.0211,-0.0061,-0.0291
21-Jul-13,0.016,-0.048,-0.109,-0.141,-0.091,-0.07,-0.69,-0.011,0.025,0.0092,-0.0003,0.0361
14-Jul-13,0.014,0.035,0.066,0.029,0.074,0.14,2.37,0.008,-0.015,-0.0113,-0.0137,-0.009
7-Jul-13,0.041,0.171,0.088,0.169,0.121,0.04,-1.43,0.003,-0.015,-0.016,-0.0074,-0.0125
30-Jun-13,-0.019,-0.055,-0.071,0.007,-0.114,-0.185,1.98,0.018,-0.007,-0.0219,-0.0236,0.0019
