Date,Open,High,Low,Close
1995-11-10,163.05,163.05,159.09,159.09
1995-11-17,158.18,158.97,157.21,158.27
1995-11-24,156.83,158.39,156.83,158.22
1995-12-01,157.81,157.81,155.37,155.37
1995-12-08,155.18,156.35,154.76,154.76
1995-12-15,155.21,157.31,155.21,157.31
1995-12-22,156.41,158.28,156.41,158.28
1995-12-29,159.24,160.39,158.36,160.39
1996-01-05,161.77,164.39,161.77,163.2
1996-01-12,163.33,163.33,161.73,162.85
1996-01-19,162.59,162.86,159.08,159.08
1996-01-26,159.99,161.38,159.99,160.19
1996-02-02,160.85,162,160.85,162
1996-02-09,161.11,164.24,161.11,164.11
1996-02-16,163.39,164.09,163.13,163.13
1996-02-23,160.81,163.76,160.81,161.36
1996-03-01,160.75,161.6,160.26,161.6
1996-03-08,160.56,161.51,160.56,161.51
1996-03-15,160.64,161.45,160.29,161.45
1996-03-22,162.28,163.85,162.28,163.76
1996-03-29,161.76,163.18,161.76,163.18
1996-04-05,163.93,164.6,163.21,164.6
1996-04-12,164.36,164.94,164.06,164.26
1996-04-19,163.56,163.56,161.61,162.47
1996-04-26,161.17,161.68,159.37,159.37
1996-05-03,157.72,157.72,157.02,157.7
1996-05-10,158.1,160.64,158.1,160.64
1996-05-17,158.91,161.8,158.91,161.41
1996-05-24,162.1,163.05,161.59,163.05
1996-05-31,163.05,167.44,163.05,167.44
1996-06-07,168.17,169.1,168.17,168.27
1996-06-14,167.03,168.13,166.78,167.21
1996-06-21,168.23,168.23,166.64,167.72
1996-06-28,167.72,170.07,167.72,170.07
1996-07-05,170.32,172.26,170.32,172.26
1996-07-12,172.25,172.25,170.75,171.91
1996-07-19,171.23,171.23,167.17,167.38
1996-07-26,166.62,168.67,166.62,168.41
1996-08-02,168.43,168.43,165.01,165.01
1996-08-09,164.34,167.72,164.34,167.57
1996-08-16,166.91,167.29,166.7,167.1
1996-08-23,166.5,168.54,166.5,168.54
1996-08-30,167.48,169.7,167.47,169.7
1996-09-06,171.22,171.22,170.51,170.72
1996-09-13,170.19,171.66,170.19,171.66
1996-09-20,171.49,171.63,169.78,170.77
1996-09-27,171.11,173.23,171.06,173.23
1996-10-04,174.76,175.32,174.24,174.55
1996-10-11,173.91,175.92,173.91,175.92
1996-10-18,177.7,178.96,177.7,178.96
1996-10-25,179.46,182.03,179.46,182.03
1996-11-01,183.91,186,183.85,185.29
1996-11-08,187.39,188.06,183.83,183.88
1996-11-15,183.39,185.25,183.39,185.25
1996-11-22,185.95,188.16,185.95,187.23
1996-11-29,188.03,191.49,188.03,191.49
1996-12-06,191.72,191.72,182.75,185.34
